time	V(vout)
Step Information: Run=0  (Run: 1/8)
4.960500808005264e+000	4.153159e-002
4.960500855528544e+000	1.553092e-002
4.960500902645098e+000	7.088309e-003
4.960500919823875e+000	5.681449e-003
4.960500942040291e+000	4.688515e-003
4.960500966939993e+000	3.917892e-003
4.960500994805294e+000	3.338988e-003
4.960501036884487e+000	2.761885e-003
4.960501078699011e+000	2.396569e-003
4.960501162328058e+000	1.964708e-003
4.960501252089255e+000	1.697313e-003
4.960501431611647e+000	1.431455e-003
4.960501699566276e+000	1.241612e-003
4.960502235475531e+000	1.092484e-003
4.960503307294040e+000	9.866516e-004
4.960505450931063e+000	9.230507e-004
4.960509738205108e+000	8.893189e-004
4.960518312753198e+000	8.745528e-004
4.960535461849375e+000	8.700484e-004
4.995622512628099e+000	8.693147e-004
5.030743861599177e+000	8.689071e-004
5.070743861599176e+000	8.684768e-004
5.110743861599175e+000	8.680841e-004
5.150743861599175e+000	8.677278e-004
5.190743861599174e+000	8.674089e-004
5.230743861599173e+000	8.671486e-004
5.270743861599172e+000	8.670525e-004
5.310743861599171e+000	8.675711e-004
5.350743861599170e+000	8.705332e-004
5.390743861599169e+000	8.790375e-004
5.392618861599168e+000	8.780051e-004
